lambda1_v,lambda0_w,psnr,ssim
0.02,0.01,32.549652099609375,0.7337706089019775
0.02,0.02,32.614933013916016,0.7406356334686279
0.02,0.03,32.59276580810547,0.740673840045929
0.02,0.04,32.514366149902344,0.7366539835929871
0.02,0.05,32.42265319824219,0.7312408685684204
0.02,0.06,32.352840423583984,0.7270084023475647
0.02,0.07,32.28712844848633,0.7236956357955933
0.02,0.08,32.24241638183594,0.7216700315475464
0.02,0.09,32.21958923339844,0.7206181883811951
0.02,0.1,32.20477294921875,0.7198930978775024
0.02,0.11,32.1970329284668,0.7195258140563965
0.02,0.12,32.19367980957031,0.7194275856018066
0.02,0.13,32.19303894042969,0.7194105386734009
0.02,0.14,32.19307327270508,0.7194173336029053
0.02,0.15,32.19306564331055,0.7194130420684814
0.02,0.16,32.19306182861328,0.719413161277771
0.02,0.17,32.19306182861328,0.719413161277771
0.02,0.18,32.19306182861328,0.719413161277771
0.02,0.19,32.19306182861328,0.719413161277771
0.02,0.2,32.19306182861328,0.719413161277771
0.03,0.0,31.151233673095703,0.663654088973999
0.03,0.01,32.543434143066406,0.7335929870605469
0.03,0.02,32.544456481933594,0.7387942671775818
0.03,0.03,32.43330383300781,0.7370251417160034
0.03,0.04,32.32322692871094,0.7333705425262451
0.03,0.05,32.22587966918945,0.7287683486938477
0.03,0.06,32.14323806762695,0.724791407585144
0.03,0.07,32.07025146484375,0.7208431959152222
0.03,0.08,32.016273498535156,0.7173140048980713
0.03,0.09,31.972702026367188,0.714358925819397
0.03,0.1,31.93416404724121,0.7119320631027222
0.03,0.11,31.896465301513672,0.7098901271820068
0.03,0.12,31.86651039123535,0.708490252494812
0.03,0.13,31.845182418823242,0.7074962854385376
0.03,0.14,31.832401275634766,0.7068873643875122
0.03,0.15,31.826629638671875,0.7065935134887695
0.03,0.16,31.823814392089844,0.706469714641571
0.03,0.17,31.82168197631836,0.7063817977905273
0.03,0.18,31.821203231811523,0.7063616514205933
0.03,0.19,31.82113265991211,0.7063634395599365
0.03,0.2,31.82111358642578,0.7063630819320679
0.04,0.0,31.151233673095703,0.663654088973999
0.04,0.01,32.542335510253906,0.7335732579231262
0.04,0.02,32.52964401245117,0.7383921146392822
0.04,0.03,32.38470458984375,0.7356762290000916
0.04,0.04,32.22930908203125,0.7310517430305481
0.04,0.05,32.09295654296875,0.726324737071991
0.04,0.06,31.976253509521484,0.7218930721282959
0.04,0.07,31.879255294799805,0.7177527546882629
0.04,0.08,31.80730438232422,0.7141844034194946
0.04,0.09,31.737506866455078,0.7106376886367798
0.04,0.1,31.68729019165039,0.7075406312942505
0.04,0.11,31.655834197998047,0.7051077485084534
0.04,0.12,31.62729263305664,0.7031254172325134
0.04,0.13,31.595935821533203,0.7012633085250854
0.04,0.14,31.565155029296875,0.6996856927871704
0.04,0.15,31.539382934570312,0.698506236076355
0.04,0.16,31.5197811126709,0.6976656913757324
0.04,0.17,31.507465362548828,0.6971654891967773
0.04,0.18,31.50049591064453,0.6968669891357422
0.04,0.19,31.496601104736328,0.6966633200645447
0.04,0.2,31.493812561035156,0.6965278387069702
0.05,0.0,31.151233673095703,0.663654088973999
0.05,0.01,32.54231262207031,0.7335718870162964
0.05,0.02,32.52778625488281,0.7382962107658386
0.05,0.03,32.375732421875,0.7354183197021484
0.05,0.04,32.20142364501953,0.7302907705307007
0.05,0.05,32.038089752197266,0.7248632311820984
0.05,0.06,31.893218994140625,0.720183789730072
0.05,0.07,31.77489471435547,0.715703010559082
0.05,0.08,31.66753387451172,0.7114123106002808
0.05,0.09,31.56937026977539,0.7073475122451782
0.05,0.1,31.499189376831055,0.7039313316345215
0.05,0.11,31.44485855102539,0.7011703848838806
0.05,0.12,31.405189514160156,0.6989203691482544
0.05,0.13,31.373714447021484,0.6969359517097473
0.05,0.14,31.344711303710938,0.6951206922531128
0.05,0.15,31.316987991333008,0.6934539079666138
0.05,0.16,31.29216194152832,0.6921600103378296
0.05,0.17,31.27099609375,0.6911712884902954
0.05,0.18,31.251956939697266,0.6903936862945557
0.05,0.19,31.237808227539062,0.6898453235626221
0.05,0.2,31.228107452392578,0.6894532442092896
0.06,0.0,31.151233673095703,0.663654088973999
0.06,0.01,32.54231262207031,0.7335716485977173
0.06,0.02,32.52736282348633,0.7382813692092896
0.06,0.03,32.37269592285156,0.7353533506393433
0.06,0.04,32.19530487060547,0.7301675081253052
0.06,0.05,32.020851135253906,0.7244316339492798
0.06,0.06,31.86025619506836,0.7192052602767944
0.06,0.07,31.71999740600586,0.7143015265464783
0.06,0.08,31.600263595581055,0.7098307013511658
0.06,0.09,31.491275787353516,0.7054882049560547
0.06,0.1,31.392122268676758,0.7014280557632446
0.06,0.11,31.312341690063477,0.6979820728302002
0.06,0.12,31.252904891967773,0.6952965259552002
0.06,0.13,31.203243255615234,0.6929327249526978
0.06,0.14,31.161907196044922,0.6908025145530701
0.06,0.15,31.127574920654297,0.6889123320579529
0.06,0.16,31.097698211669922,0.6873346567153931
0.06,0.17,31.07244110107422,0.6861274242401123
0.06,0.18,31.051414489746094,0.6852108240127563
0.06,0.19,31.032695770263672,0.6844522953033447
0.06,0.2,31.014739990234375,0.6837594509124756
