lambda,psnr,ssim
0.179,30.106351852416992,0.7259098291397095
0.18,30.098247528076172,0.725656270980835
0.181,30.090198516845703,0.7254007458686829
0.182,30.0821533203125,0.7251401543617249
0.183,30.07413101196289,0.7248758673667908
0.184,30.066150665283203,0.7246090173721313
0.185,30.05817985534668,0.7243390083312988
0.186,30.050193786621094,0.7240656018257141
0.187,30.04218292236328,0.7237874269485474
0.188,30.034149169921875,0.7235031127929688
0.189,30.026103973388672,0.7232109308242798
0.19,30.018043518066406,0.7229119539260864
0.191,30.00994300842285,0.7226060628890991
0.192,30.001827239990234,0.7222940921783447
0.193,29.993724822998047,0.7219793796539307
0.194,29.98566436767578,0.7216629981994629
0.195,29.977630615234375,0.7213432788848877
0.196,29.969581604003906,0.7210206985473633
0.197,29.961578369140625,0.7206946015357971
0.198,29.953655242919922,0.7203652262687683
0.199,29.94579315185547,0.7200340032577515
0.2,29.937946319580078,0.7196981310844421
0.201,29.930095672607422,0.7193568348884583
0.202,29.922237396240234,0.7190109491348267
0.203,29.914371490478516,0.7186602354049683
0.20400000000000001,29.90644073486328,0.7183037400245667
0.20500000000000002,29.898468017578125,0.7179415225982666
0.20600000000000002,29.890483856201172,0.7175744771957397
0.20700000000000002,29.882450103759766,0.7172030210494995
0.20800000000000002,29.874418258666992,0.7168272137641907
0.209,29.866439819335938,0.7164496183395386
0.21,29.85851287841797,0.7160700559616089
0.211,29.85061264038086,0.7156883478164673
0.212,29.842750549316406,0.7153052091598511
0.213,29.83495330810547,0.7149232625961304
0.214,29.827198028564453,0.7145422697067261
0.215,29.819454193115234,0.7141619920730591
0.216,29.811731338500977,0.713783860206604
0.217,29.80401611328125,0.7134056687355042
0.218,29.796340942382812,0.7130294442176819
0.219,29.788686752319336,0.7126555442810059
0.22,29.78103256225586,0.7122811675071716
0.221,29.77336311340332,0.7119076251983643
0.222,29.765731811523438,0.711539089679718
0.223,29.75815200805664,0.7111752033233643
0.224,29.750606536865234,0.7108142375946045
0.225,29.743072509765625,0.7104572057723999
0.226,29.735572814941406,0.7101039886474609
0.227,29.728092193603516,0.7097537517547607
0.228,29.720687866210938,0.7094091176986694
0.229,29.713346481323242,0.7090693712234497
0.23,29.7060604095459,0.708734393119812
0.231,29.698871612548828,0.7084037065505981
0.232,29.69173240661621,0.7080769538879395
0.233,29.684635162353516,0.7077542543411255
0.234,29.677570343017578,0.7074350118637085
0.23500000000000001,29.670520782470703,0.707119345664978
0.23600000000000002,29.663480758666992,0.706807017326355
0.23700000000000002,29.656482696533203,0.7065010070800781
0.23800000000000002,29.64954376220703,0.7062023878097534
0.23900000000000002,29.64263153076172,0.7059110403060913
0.24,29.63576889038086,0.7056262493133545
0.241,29.628982543945312,0.7053499221801758
0.242,29.62225914001465,0.705079197883606
0.243,29.615568161010742,0.7048144340515137
0.244,29.608871459960938,0.7045541405677795
0.245,29.602155685424805,0.7042984962463379
0.246,29.595447540283203,0.7040497064590454
0.247,29.588768005371094,0.7038067579269409
0.248,29.582096099853516,0.7035694122314453
0.249,29.57543182373047,0.7033377885818481
0.25,29.56876564025879,0.7031114101409912
0.251,29.562074661254883,0.7028893828392029
0.252,29.555404663085938,0.7026726007461548
0.253,29.548782348632812,0.7024619579315186
0.254,29.542232513427734,0.7022590637207031
0.255,29.53573989868164,0.7020642757415771
0.256,29.529253005981445,0.7018764615058899
0.257,29.522777557373047,0.7016958594322205
0.258,29.516319274902344,0.7015224695205688
0.259,29.509876251220703,0.7013559341430664
0.26,29.503437042236328,0.7011959552764893
0.261,29.497018814086914,0.7010427713394165
0.262,29.490625381469727,0.7008954882621765
0.263,29.48426055908203,0.7007529735565186
0.264,29.477924346923828,0.7006150484085083
0.265,29.47160530090332,0.7004812955856323
0.266,29.465301513671875,0.700351357460022
0.267,29.459033966064453,0.700224757194519
0.268,29.45281410217285,0.7001022100448608
0.269,29.446622848510742,0.6999838948249817
0.27,29.440458297729492,0.6998684406280518
0.271,29.434345245361328,0.699755847454071
0.272,29.428314208984375,0.699647068977356
0.273,29.422359466552734,0.6995420455932617
0.274,29.41645050048828,0.6994391679763794
0.275,29.41058349609375,0.699338436126709
0.276,29.40473175048828,0.6992388367652893
0.277,29.398876190185547,0.6991393566131592
0.278,29.393028259277344,0.6990399360656738
0.279,29.387165069580078,0.6989389657974243
0.28,29.381282806396484,0.6988370418548584
0.281,29.375389099121094,0.6987347602844238
0.28200000000000003,29.369487762451172,0.6986313462257385
0.28300000000000003,29.363582611083984,0.6985278129577637
0.28400000000000003,29.357677459716797,0.6984239816665649
0.28500000000000003,29.351787567138672,0.6983188986778259
0.28600000000000003,29.345914840698242,0.6982121467590332
0.28700000000000003,29.34009552001953,0.6981041431427002
0.28800000000000003,29.334346771240234,0.6979957818984985
0.289,29.328632354736328,0.6978880167007446
0.29,29.322921752929688,0.6977809071540833
0.291,29.317203521728516,0.6976735591888428
0.292,29.311500549316406,0.6975657939910889
0.293,29.30583953857422,0.6974589228630066
0.294,29.300228118896484,0.6973534822463989
0.295,29.29467010498047,0.6972494721412659
0.296,29.28917694091797,0.6971467733383179
0.297,29.28375816345215,0.6970455050468445
0.298,29.278400421142578,0.6969442367553711
0.299,29.273082733154297,0.6968435049057007
0.3,29.267803192138672,0.6967438459396362
