lambda1_v,lambda0_w,psnr,ssim
0.07,0.03,25.05754280090332,0.7012763619422913
0.07,0.04,24.825803756713867,0.6913485527038574
0.07,0.05,24.607181549072266,0.681203305721283
0.07,0.06,24.410463333129883,0.6718229055404663
0.07,0.07,24.238994598388672,0.6636152267456055
0.07,0.08,24.083999633789062,0.6563409566879272
0.07,0.09,23.94367790222168,0.6492055654525757
0.07,0.1,23.820859909057617,0.6429980397224426
0.07,0.11,23.716957092285156,0.6375730037689209
0.07,0.12,23.633142471313477,0.6330326795578003
0.07,0.13,23.56546974182129,0.6293730139732361
0.07,0.14,23.50580406188965,0.6261540651321411
0.07,0.15,23.454303741455078,0.623368501663208
0.07,0.16,23.41273307800293,0.6210862398147583
0.07,0.17,23.379344940185547,0.6192113161087036
0.07,0.18,23.35228729248047,0.6177152991294861
0.07,0.19,23.32733726501465,0.6164090037345886
0.07,0.2,23.302616119384766,0.6151583194732666
0.08,0.0,23.995786666870117,0.6220551133155823
0.08,0.01,25.387723922729492,0.7108119130134583
0.08,0.02,25.281126022338867,0.709966242313385
0.08,0.03,25.05743408203125,0.7012689113616943
0.08,0.04,24.824552536010742,0.6912862062454224
0.08,0.05,24.60678482055664,0.6811809539794922
0.08,0.06,24.405187606811523,0.6716741919517517
0.08,0.07,24.23044776916504,0.6633680462837219
0.08,0.08,24.07020378112793,0.6558574438095093
0.08,0.09,23.917890548706055,0.6483051180839539
0.08,0.1,23.78495216369629,0.6416763663291931
0.08,0.11,23.672704696655273,0.6359255909919739
0.08,0.12,23.57678985595703,0.6308777332305908
0.08,0.13,23.49588966369629,0.6266436576843262
0.08,0.14,23.42523765563965,0.622997522354126
0.08,0.15,23.362661361694336,0.6198140382766724
0.08,0.16,23.307254791259766,0.617091953754425
0.08,0.17,23.261600494384766,0.614844560623169
0.08,0.18,23.225839614868164,0.6129748225212097
0.08,0.19,23.195125579833984,0.6113199591636658
0.08,0.2,23.1657657623291,0.6098268032073975
0.09,0.0,23.995786666870117,0.6220551133155823
0.09,0.01,25.387723922729492,0.7108119130134583
0.09,0.02,25.281126022338867,0.709966242313385
0.09,0.03,25.057369232177734,0.7012670636177063
0.09,0.04,24.823932647705078,0.6912581324577332
0.09,0.05,24.60584259033203,0.6811641454696655
0.09,0.06,24.40362548828125,0.6716066002845764
0.09,0.07,24.2263240814209,0.663264274597168
0.09,0.08,24.063688278198242,0.6556324362754822
0.09,0.09,23.907886505126953,0.6479715704917908
0.09,0.1,23.768335342407227,0.6410940289497375
0.09,0.11,23.647418975830078,0.6349692940711975
0.09,0.12,23.545148849487305,0.6296818256378174
0.09,0.13,23.457908630371094,0.6252078413963318
0.09,0.14,23.379302978515625,0.6213094592094421
0.09,0.15,23.30780601501465,0.6178023219108582
0.09,0.16,23.245410919189453,0.6148285865783691
0.09,0.17,23.19310760498047,0.6123331785202026
0.09,0.18,23.150588989257812,0.6101865172386169
0.09,0.19,23.113269805908203,0.6081990003585815
0.09,0.2,23.078899383544922,0.6064450740814209
0.1,0.0,23.995786666870117,0.6220551133155823
0.1,0.01,25.387723922729492,0.7108119130134583
0.1,0.02,25.281126022338867,0.709966242313385
0.1,0.03,25.057369232177734,0.7012670636177063
0.1,0.04,24.82369613647461,0.6912419199943542
0.1,0.05,24.605648040771484,0.6811537742614746
0.1,0.06,24.402612686157227,0.6715788245201111
0.1,0.07,24.22378921508789,0.6631840467453003
0.1,0.08,24.06063461303711,0.6555543541908264
0.1,0.09,23.90296173095703,0.6478031873703003
0.1,0.1,23.760665893554688,0.6408471465110779
0.1,0.11,23.63652229309082,0.6346207857131958
0.1,0.12,23.528804779052734,0.6291264891624451
0.1,0.13,23.437437057495117,0.6244879961013794
0.1,0.14,23.35552215576172,0.6204777359962463
0.1,0.15,23.27875518798828,0.6167925596237183
0.1,0.16,23.210268020629883,0.6135737299919128
0.1,0.17,23.152202606201172,0.6108607053756714
0.1,0.18,23.10454559326172,0.6085376739501953
0.1,0.19,23.06189727783203,0.6063786745071411
0.1,0.2,23.022762298583984,0.604409396648407
0.11,0.0,23.995786666870117,0.6220551133155823
0.11,0.01,25.387723922729492,0.7108119130134583
0.11,0.02,25.281126022338867,0.709966242313385
0.11,0.03,25.057369232177734,0.7012670636177063
0.11,0.04,24.823759078979492,0.6912411451339722
0.11,0.05,24.605119705200195,0.6811295747756958
0.11,0.06,24.401872634887695,0.6715522408485413
0.11,0.07,24.222640991210938,0.6631404161453247
0.11,0.08,24.058792114257812,0.6554827690124512
0.11,0.09,23.900192260742188,0.6477024555206299
0.11,0.1,23.757102966308594,0.6407430171966553
0.11,0.11,23.630901336669922,0.6344661116600037
0.11,0.12,23.520658493041992,0.6288707852363586
0.11,0.13,23.425704956054688,0.6241242289543152
0.11,0.14,23.341896057128906,0.6200723648071289
0.11,0.15,23.263341903686523,0.6162943243980408
0.11,0.16,23.191667556762695,0.6129545569419861
0.11,0.17,23.130605697631836,0.6101438403129578
0.11,0.18,23.07984161376953,0.6076990962028503
0.11,0.19,23.034366607666016,0.6054421067237854
0.11,0.2,22.99213409423828,0.6033710241317749
0.12,0.0,23.995786666870117,0.6220551133155823
0.12,0.01,25.387723922729492,0.7108119130134583
0.12,0.02,25.281126022338867,0.709966242313385
0.12,0.03,25.057369232177734,0.7012670636177063
0.12,0.04,24.823760986328125,0.6912409067153931
0.12,0.05,24.604948043823242,0.6811191439628601
0.12,0.06,24.40128517150879,0.6715277433395386
0.12,0.07,24.221660614013672,0.6631085276603699
0.12,0.08,24.057512283325195,0.6554458737373352
0.12,0.09,23.89874839782715,0.6476474404335022
0.12,0.1,23.754972457885742,0.6406484842300415
0.12,0.11,23.627872467041016,0.6343576908111572
0.12,0.12,23.516620635986328,0.6287379860877991
0.12,0.13,23.42039680480957,0.6239559650421143
0.12,0.14,23.334922790527344,0.6198448538780212
0.12,0.15,23.254634857177734,0.6160207390785217
0.12,0.16,23.181638717651367,0.6126444935798645
0.12,0.17,23.119178771972656,0.6097843050956726
0.12,0.18,23.066143035888672,0.6072397232055664
0.12,0.19,23.019176483154297,0.6049240231513977
0.12,0.2,22.97579002380371,0.6027782559394836
0.13,0.0,23.995786666870117,0.6220551133155823
0.13,0.01,25.387723922729492,0.7108119130134583
0.13,0.02,25.281126022338867,0.709966242313385
0.13,0.03,25.057369232177734,0.7012670636177063
0.13,0.04,24.823760986328125,0.6912409067153931
0.13,0.05,24.605058670043945,0.6811245083808899
0.13,0.06,24.401227951049805,0.6715224981307983
0.13,0.07,24.220928192138672,0.6630839109420776
0.13,0.08,24.056493759155273,0.655417799949646
0.13,0.09,23.897741317749023,0.6476168036460876
0.13,0.1,23.75356674194336,0.6405839920043945
0.13,0.11,23.6259765625,0.6342714428901672
0.13,0.12,23.514041900634766,0.6286367774009705
0.13,0.13,23.417396545410156,0.6238579154014587
0.13,0.14,23.331443786621094,0.6197454929351807
0.13,0.15,23.250598907470703,0.6159037351608276
0.13,0.16,23.176578521728516,0.6124972105026245
0.13,0.17,23.112712860107422,0.6095820665359497
0.13,0.18,23.058652877807617,0.6070123314857483
0.13,0.19,23.010608673095703,0.6046567559242249
0.13,0.2,22.966325759887695,0.6024900078773499
0.14,0.0,23.995786666870117,0.6220551133155823
0.14,0.01,25.387723922729492,0.7108119130134583
0.14,0.02,25.281126022338867,0.709966242313385
0.14,0.03,25.057369232177734,0.7012670636177063
0.14,0.04,24.823760986328125,0.6912409067153931
0.14,0.05,24.605093002319336,0.6811256408691406
0.14,0.06,24.40094566345215,0.6715151071548462
0.14,0.07,24.220703125,0.6630741953849792
0.14,0.08,24.056074142456055,0.6554031372070312
0.14,0.09,23.897075653076172,0.6475924253463745
0.14,0.1,23.75265121459961,0.6405444145202637
0.14,0.11,23.62461280822754,0.634215772151947
0.14,0.12,23.512300491333008,0.6285808086395264
0.14,0.13,23.415576934814453,0.6237926483154297
0.14,0.14,23.329471588134766,0.6196807622909546
0.14,0.15,23.248319625854492,0.6158369779586792
0.14,0.16,23.173532485961914,0.6124096512794495
0.14,0.17,23.1093692779541,0.6094797849655151
0.14,0.18,23.054752349853516,0.6068952083587646
0.14,0.19,23.006237030029297,0.6045278310775757
0.14,0.2,22.96133041381836,0.602342963218689
0.15,0.0,23.995786666870117,0.6220551133155823
0.15,0.01,25.387723922729492,0.7108119130134583
0.15,0.02,25.281126022338867,0.709966242313385
0.15,0.03,25.057369232177734,0.7012670636177063
0.15,0.04,24.823760986328125,0.6912409067153931
0.15,0.05,24.605093002319336,0.6811256408691406
0.15,0.06,24.40091896057129,0.6715153455734253
0.15,0.07,24.22059440612793,0.6630709171295166
0.15,0.08,24.055707931518555,0.655394434928894
0.15,0.09,23.896705627441406,0.6475850343704224
0.15,0.1,23.752042770385742,0.6405267119407654
0.15,0.11,23.623821258544922,0.6341866850852966
0.15,0.12,23.51137351989746,0.6285507082939148
0.15,0.13,23.414546966552734,0.6237620115280151
0.15,0.14,23.32821273803711,0.6196402907371521
0.15,0.15,23.24695587158203,0.6157925724983215
0.15,0.16,23.171934127807617,0.6123602390289307
